simulation_id,timestamp,cycle,agent_id,name,archetype,capital,inventory_count,inventory_value,total_sales,total_purchases,total_profit,total_assets
sim_20260102121425_c6e699,2026-01-02T12:36:14.260583,3,agent_009,Chaotic_9,Chaotic,3548.008749947239,1,453.5278612537151,3,1,2694.040888693524,4001.5366112009538
sim_20260102121425_c6e699,2026-01-02T12:39:47.773459,4,agent_000,Agressive_Trader_0,Agressive_Trader,4256.369153831867,2,718.0163136564149,2,1,879.7738975405509,4974.385467488282
sim_20260102121425_c6e699,2026-01-02T12:39:47.774532,4,agent_001,Patient_Investor_1,Patient_Investor,4092.2558136699995,1,382.688096519138,3,1,489.13739016375877,4474.943910189138
sim_20260102121425_c6e699,2026-01-02T12:39:47.774854,4,agent_002,Opportunist_2,Opportunist,4702.832839381306,3,1156.7849958919699,1,1,852.1373118810894,5859.617835273276
sim_20260102121425_c6e699,2026-01-02T12:39:47.774854,4,agent_003,Risk_Taker_3,Risk_Taker,6578.868217343152,5,2942.0342114119453,1,3,504.1962503558492,9520.902428755096
sim_20260102121425_c6e699,2026-01-02T12:39:47.775462,4,agent_004,Conservative_4,Conservative,4208.71765749431,2,990.9308204244722,1,0,158.25765749430968,5199.648477918782
sim_20260102121425_c6e699,2026-01-02T12:39:47.775462,4,agent_005,Specialist_5,Specialist,5000.0,3,1448.893292197562,1,1,1058.7176574943096,6448.893292197562
sim_20260102121425_c6e699,2026-01-02T12:39:47.775870,4,agent_006,Emotional_6,Emotional,6515.355950174532,5,3022.646302602727,1,3,46.534472499783135,9538.00225277726
sim_20260102121425_c6e699,2026-01-02T12:39:47.776172,4,agent_007,Data_Driven_7,Data_Driven,5000.0,3,1397.3378847800584,0,0,0,6397.337884780059
sim_20260102121425_c6e699,2026-01-02T12:39:47.776474,4,agent_008,Social_8,Social,5471.958930038685,4,1521.794601422041,3,4,870.2080789967099,6993.753531460727
sim_20260102121425_c6e699,2026-01-02T12:39:47.776869,4,agent_009,Chaotic_9,Chaotic,4173.641438066149,2,1079.1605493726256,3,2,2694.040888693524,5252.801987438775
sim_20260102121425_c6e699,2026-01-02T12:46:41.636015,5,agent_000,Agressive_Trader_0,Agressive_Trader,4256.369153831867,2,718.0163136564149,2,1,879.7738975405509,4974.385467488282
sim_20260102121425_c6e699,2026-01-02T12:46:41.636015,5,agent_001,Patient_Investor_1,Patient_Investor,4092.2558136699995,1,382.688096519138,3,1,489.13739016375877,4474.943910189138
sim_20260102121425_c6e699,2026-01-02T12:46:41.636692,5,agent_002,Opportunist_2,Opportunist,4702.832839381306,3,1156.7849958919699,1,1,852.1373118810894,5859.617835273276
sim_20260102121425_c6e699,2026-01-02T12:46:41.637014,5,agent_003,Risk_Taker_3,Risk_Taker,5888.659398154804,4,2251.8253922235976,2,3,1488.9874311675017,8140.484790378401
sim_20260102121425_c6e699,2026-01-02T12:46:41.637014,5,agent_004,Conservative_4,Conservative,4680.676587532995,3,1462.8897504631573,1,1,158.25765749430968,6143.566337996152
sim_20260102121425_c6e699,2026-01-02T12:46:41.637014,5,agent_005,Specialist_5,Specialist,5690.208819188348,4,2139.1021113859097,1,2,1058.7176574943096,7829.310930574257
sim_20260102121425_c6e699,2026-01-02T12:46:41.637917,5,agent_006,Emotional_6,Emotional,6515.355950174532,5,3022.646302602727,1,3,46.534472499783135,9538.00225277726
sim_20260102121425_c6e699,2026-01-02T12:46:41.638154,5,agent_007,Data_Driven_7,Data_Driven,5000.0,3,1397.3378847800584,0,0,0,6397.337884780059
sim_20260102121425_c6e699,2026-01-02T12:46:41.638422,5,agent_008,Social_8,Social,5000.0,3,1049.835671383356,4,4,963.2491489580248,6049.835671383356
sim_20260102121425_c6e699,2026-01-02T12:46:41.638682,5,agent_009,Chaotic_9,Chaotic,4173.641438066149,2,1079.1605493726256,3,2,2694.040888693524,5252.801987438775
